namespace,table_name,g1,g2,g3
aave_v3_avalanche_c,Pool_evt_Borrow,lending,money_markets,debt_origination
aave_v3_avalanche_c,Pool_evt_FlashLoan,lending,money_markets,flash_loan_executed
aave_v3_avalanche_c,Pool_evt_LiquidationCall,lending,money_markets,collateral_seized
aave_v3_avalanche_c,Pool_evt_RedeemUnderlying,lending,money_markets,redeem_executed
aave_v3_avalanche_c,Pool_evt_Repay,lending,money_markets,debt_repaid
aave_v3_avalanche_c,Pool_evt_ReserveDataUpdated,lending,money_markets,reserve_data_updated
aave_v3_avalanche_c,Pool_evt_Supply,lending,money_markets,supply_deposited
aave_v3_avalanche_c,Pool_evt_Withdraw,lending,money_markets,supply_withdrawn
aave_v3_avalanche_c,StataTokenFactory_call_createstatatokens,lending,yield_token_factories,yield_token_deployed
aave_v3_avalanche_c,StataTokenV2_evt_Initialized,lending,yield_token_systems,token_initialized
aave_v3_avalanche_c,WrappedTokenGatewayV3_call_withdrawETH,lending,money_markets,eth_withdrawn
aave_v3_avalanche_c,poolconfigurator_evt_reserveinitialized,lending,money_markets,reserve_initialized
aave_v3_base,L2Pool_evt_Borrow,lending,money_markets,debt_origination
aave_v3_base,L2Pool_evt_FlashLoan,lending,flash_loan_systems,flash_loan_executed
aave_v3_base,L2Pool_evt_LiquidationCall,lending,liquidation_systems,collateral_seized
aave_v3_base,L2Pool_evt_RedeemUnderlying,lending,money_markets,redeem_executed
aave_v3_base,L2Pool_evt_Repay,lending,money_markets,debt_repaid
aave_v3_base,L2Pool_evt_ReserveDataUpdated,lending,money_markets,reserve_data_updated
aave_v3_base,L2Pool_evt_Supply,lending,money_markets,supply_deposited
aave_v3_base,L2Pool_evt_Withdraw,lending,money_markets,supply_withdrawn
aave_v3_base,StataTokenFactory_call_createDeterministic,lending,yield_token_factories,yield_token_deployed
aave_v3_base,StataToken_evt_Initialized,lending,yield_token_systems,token_initialized
aave_v3_base,WrappedTokenGatewayV3_call_withdrawETH,lending,money_markets,eth_withdrawn
aave_v3_base,poolconfigurator_evt_reserveinitialized,lending,money_markets,reserve_initialized
aave_v3_bnb,Pool_evt_Borrow,lending,money_markets,debt_origination
aave_v3_bnb,Pool_evt_FlashLoan,lending,flash_loan_systems,flash_loan_executed
aave_v3_bnb,Pool_evt_LiquidationCall,lending,liquidation_systems,collateral_seized
aave_v3_bnb,Pool_evt_Repay,lending,money_markets,debt_repaid
aave_v3_bnb,Pool_evt_ReserveDataUpdated,lending,money_markets,reserve_data_updated
aave_v3_bnb,Pool_evt_Supply,lending,money_markets,supply_deposited
aave_v3_bnb,Pool_evt_Withdraw,lending,money_markets,supply_withdrawn
aave_v3_bnb,WrappedTokenGatewayV3_call_withdrawETH,lending,money_markets,eth_withdrawn
aave_v3_bnb,poolconfigurator_evt_reserveinitialized,lending,money_markets,reserve_initialized
aave_v3_celo,Pool_evt_Borrow,lending,money_markets,debt_origination
aave_v3_celo,Pool_evt_FlashLoan,lending,flash_loan_systems,flash_loan_executed
aave_v3_celo,Pool_evt_LiquidationCall,lending,liquidation_systems,collateral_seized
aave_v3_celo,Pool_evt_Repay,lending,money_markets,debt_repaid
aave_v3_celo,Pool_evt_ReserveDataUpdated,lending,money_markets,reserve_data_updated
aave_v3_celo,Pool_evt_Supply,lending,money_markets,supply_deposited
aave_v3_celo,Pool_evt_Withdraw,lending,money_markets,supply_withdrawn
aave_v3_ethereum,LidoPool_evt_Borrow,lending,money_markets,debt_origination
aave_v3_ethereum,LidoPool_evt_FlashLoan,lending,flash_loan_systems,flash_loan_executed
aave_v3_ethereum,LidoPool_evt_LiquidationCall,lending,liquidation_systems,collateral_seized
aave_v3_ethereum,LidoPool_evt_Repay,lending,money_markets,debt_repaid
aave_v3_ethereum,LidoPool_evt_Supply,lending,money_markets,supply_deposited
aave_v3_ethereum,LidoPool_evt_Withdraw,lending,money_markets,supply_withdrawn
aave_v3_ethereum,LidoWrappedTokenGatewayV3_call_withdrawETH,lending,money_markets,eth_withdrawn
aave_v3_ethereum,Pool_evt_Borrow,lending,money_markets,debt_origination
aave_v3_ethereum,Pool_evt_FlashLoan,lending,flash_loan_systems,flash_loan_executed
aave_v3_ethereum,Pool_evt_LiquidationCall,lending,liquidation_systems,collateral_seized
aave_v3_ethereum,Pool_evt_Repay,lending,money_markets,debt_repaid
aave_v3_ethereum,Pool_evt_ReserveDataUpdated,lending,money_markets,reserve_data_updated
aave_v3_ethereum,Pool_evt_Supply,lending,money_markets,supply_deposited
aave_v3_ethereum,Pool_evt_Withdraw,lending,money_markets,supply_withdrawn
aave_v3_ethereum,WrappedTokenGatewayV3_call_withdrawETH,lending,money_markets,eth_withdrawn
aave_v3_etherfi_ethereum,PoolInstance_evt_Borrow,lending,money_markets,debt_origination
aave_v3_etherfi_ethereum,PoolInstance_evt_FlashLoan,lending,flash_loan_systems,flash_loan_executed
aave_v3_etherfi_ethereum,PoolInstance_evt_LiquidationCall,lending,liquidation_systems,collateral_seized
aave_v3_etherfi_ethereum,PoolInstance_evt_Repay,lending,money_markets,debt_repaid
aave_v3_etherfi_ethereum,PoolInstance_evt_Supply,lending,money_markets,supply_deposited
aave_v3_etherfi_ethereum,PoolInstance_evt_Withdraw,lending,money_markets,supply_withdrawn
aave_v3_etherfi_ethereum,WrappedTokenGatewayV3_call_withdrawETH,lending,money_markets,eth_withdrawn
aave_v3_fantom,Pool_evt_Borrow,lending,money_markets,debt_origination
aave_v3_fantom,Pool_evt_FlashLoan,lending,flash_loan_systems,flash_loan_executed
aave_v3_fantom,Pool_evt_LiquidationCall,lending,liquidation_systems,collateral_seized
aave_v3_fantom,Pool_evt_RedeemUnderlying,lending,money_markets,redeem_executed
aave_v3_fantom,Pool_evt_Repay,lending,money_markets,debt_repaid
aave_v3_fantom,Pool_evt_ReserveDataUpdated,lending,money_markets,reserve_data_updated
aave_v3_fantom,Pool_evt_Supply,lending,money_markets,supply_deposited
aave_v3_fantom,Pool_evt_Withdraw,lending,money_markets,supply_withdrawn
aave_v3_fantom,WrappedTokenGatewayV3_call_withdrawETH,lending,money_markets,eth_withdrawn
aave_v3_gnosis,Pool_evt_Borrow,lending,money_markets,debt_origination
aave_v3_gnosis,Pool_evt_FlashLoan,lending,flash_loan_systems,flash_loan_executed
aave_v3_gnosis,Pool_evt_LiquidationCall,lending,liquidation_systems,collateral_seized
aave_v3_gnosis,Pool_evt_Repay,lending,money_markets,debt_repaid
aave_v3_gnosis,Pool_evt_ReserveDataUpdated,lending,money_markets,reserve_data_updated
aave_v3_gnosis,Pool_evt_Supply,lending,money_markets,supply_deposited
aave_v3_gnosis,Pool_evt_Withdraw,lending,money_markets,supply_withdrawn
aave_v3_gnosis,StataTokenV2Factory_call_createDeterministic,lending,static_token_factories,static_token_deployed
aave_v3_gnosis,StataTokenV2_evt_Initialized,lending,static_token_systems,token_initialized
aave_v3_gnosis,WrappedTokenGatewayV3_call_withdrawETH,lending,money_markets,eth_withdrawn
aave_v3_gnosis,poolconfigurator_evt_reserveinitialized,lending,money_markets,reserve_initialized
aave_v3_ink,poolconfigurator_evt_reserveinitialized,lending,money_markets,reserve_initialized
aave_v3_lido_ethereum,poolconfigurator_evt_reserveinitialized,lending,money_markets,reserve_initialized
aave_v3_linea,L2Pool_evt_Borrow,lending,money_markets,debt_origination
aave_v3_linea,L2Pool_evt_FlashLoan,lending,flash_loan_systems,flash_loan_executed
aave_v3_linea,L2Pool_evt_LiquidationCall,lending,liquidation_systems,collateral_seized
aave_v3_linea,L2Pool_evt_RedeemUnderlying,lending,money_markets,redeem_executed
aave_v3_linea,L2Pool_evt_Repay,lending,money_markets,debt_repaid
aave_v3_linea,L2Pool_evt_ReserveDataUpdated,lending,money_markets,reserve_data_updated
aave_v3_linea,L2Pool_evt_Supply,lending,money_markets,supply_deposited
aave_v3_linea,L2Pool_evt_Withdraw,lending,money_markets,supply_withdrawn
aave_v3_linea,WrappedTokenGatewayV3_call_withdrawETH,lending,money_markets,eth_withdrawn
aave_v3_linea,poolconfigurator_evt_reserveinitialized,lending,money_markets,reserve_initialized
aave_v3_optimism,Pool_evt_Borrow,lending,money_markets,debt_origination
aave_v3_optimism,Pool_evt_FlashLoan,lending,flash_loan_systems,flash_loan_executed
aave_v3_optimism,Pool_evt_LiquidationCall,lending,liquidation_systems,collateral_seized
aave_v3_optimism,Pool_evt_RedeemUnderlying,lending,money_markets,redeem_executed
aave_v3_optimism,Pool_evt_Repay,lending,money_markets,debt_repaid
aave_v3_optimism,Pool_evt_ReserveDataUpdated,lending,money_markets,reserve_data_updated
aave_v3_optimism,Pool_evt_Supply,lending,money_markets,supply_deposited
aave_v3_optimism,Pool_evt_Withdraw,lending,money_markets,supply_withdrawn
aave_v3_optimism,RewardsController_evt_RewardsClaimed,lending,reward_systems,reward_claimed
aave_v3_optimism,WETHGateway_call_withdrawETH,lending,money_markets,eth_withdrawn
aave_v3_optimism,WrappedTokenGatewayV3_call_withdrawETH,lending,money_markets,eth_withdrawn
aave_v3_plasma,WrappedTokenGatewayV3_call_withdrawETH,lending,money_markets,eth_withdrawn
aave_v3_plasma,poolinstance_evt_Borrow,lending,money_markets,debt_origination
aave_v3_plasma,poolinstance_evt_FlashLoan,lending,flash_loan_systems,flash_loan_executed
aave_v3_plasma,poolinstance_evt_LiquidationCall,lending,liquidation_systems,collateral_seized
aave_v3_plasma,poolinstance_evt_Repay,lending,money_markets,debt_repaid
aave_v3_plasma,poolinstance_evt_Supply,lending,money_markets,supply_deposited
aave_v3_plasma,poolinstance_evt_Withdraw,lending,money_markets,supply_withdrawn
aave_v3_polygon,Pool_evt_Borrow,lending,money_markets,debt_origination
aave_v3_polygon,Pool_evt_FlashLoan,lending,flash_loan_systems,flash_loan_executed
aave_v3_polygon,Pool_evt_LiquidationCall,lending,liquidation_systems,collateral_seized
aave_v3_polygon,Pool_evt_RedeemUnderlying,lending,money_markets,redeem_executed
aave_v3_polygon,Pool_evt_Repay,lending,money_markets,debt_repaid
aave_v3_polygon,Pool_evt_ReserveDataUpdated,lending,money_markets,reserve_data_updated
aave_v3_polygon,Pool_evt_Supply,lending,money_markets,supply_deposited
aave_v3_polygon,Pool_evt_Withdraw,lending,money_markets,supply_withdrawn
aave_v3_polygon,WETHGateway_call_withdrawETH,lending,money_markets,eth_withdrawn
aave_v3_polygon,WrappedTokenGatewayV3_call_withdrawETH,lending,money_markets,eth_withdrawn
aave_v3_polygon,poolconfigurator_evt_reserveinitialized,lending,money_markets,reserve_initialized
aave_v3_scroll,L2Pool_evt_Borrow,lending,money_markets,debt_origination
aave_v3_scroll,L2Pool_evt_FlashLoan,lending,flash_loan_systems,flash_loan_executed
aave_v3_scroll,L2Pool_evt_LiquidationCall,lending,liquidation_systems,collateral_seized
aave_v3_scroll,L2Pool_evt_Repay,lending,money_markets,debt_repaid
aave_v3_scroll,L2Pool_evt_ReserveDataUpdated,lending,money_markets,reserve_data_updated
aave_v3_scroll,L2Pool_evt_Supply,lending,money_markets,supply_deposited
aave_v3_scroll,L2Pool_evt_Withdraw,lending,money_markets,supply_withdrawn
aave_v3_scroll,WrappedTokenGatewayV3_call_withdrawETH,lending,money_markets,eth_withdrawn
aave_v3_sonic,Pool_evt_Borrow,lending,money_markets,debt_origination
aave_v3_sonic,Pool_evt_FlashLoan,lending,flash_loan_systems,flash_loan_executed
aave_v3_sonic,Pool_evt_LiquidationCall,lending,liquidation_systems,collateral_seized
aave_v3_sonic,Pool_evt_Repay,lending,money_markets,debt_repaid
aave_v3_sonic,Pool_evt_ReserveDataUpdated,lending,money_markets,reserve_data_updated
aave_v3_sonic,Pool_evt_Supply,lending,money_markets,supply_deposited
aave_v3_sonic,Pool_evt_Withdraw,lending,money_markets,supply_withdrawn
aave_v3_sonic,WrappedTokenGatewayV3_call_withdrawETH,lending,money_markets,eth_withdrawn
aave_v3_zksync,Pool_evt_Borrow,lending,money_markets,debt_origination
aave_v3_zksync,Pool_evt_FlashLoan,lending,flash_loan_systems,flash_loan_executed
aave_v3_zksync,Pool_evt_LiquidationCall,lending,liquidation_systems,collateral_seized
aave_v3_zksync,Pool_evt_Repay,lending,money_markets,debt_repaid
aave_v3_zksync,Pool_evt_ReserveDataUpdated,lending,money_markets,reserve_data_updated
aave_v3_zksync,Pool_evt_Supply,lending,money_markets,supply_deposited
aave_v3_zksync,Pool_evt_Withdraw,lending,money_markets,supply_withdrawn
aave_v3_zksync,WrappedTokenGatewayV3_call_withdrawETH,lending,money_markets,eth_withdrawn
aavegotchi_polygon,aavegotchi_diamond_evt_ERC1155ExecutedListing,nft,nft_marketplaces,listing_executed
aavegotchi_polygon,aavegotchi_diamond_evt_ERC721ExecutedListing,nft,nft_marketplaces,listing_executed
aavegotchi_polygon,aavegotchi_diamond_evt_Transfer,nft,nft_assets,nft_transferred
aavegotchi_polygon,aavegotchi_diamond_evt_TransferBatch,nft,nft_assets,batch_transferred
aavegotchi_polygon,aavegotchi_diamond_evt_TransferSingle,nft,nft_assets,nft_transferred
abi,signatures,infra,function_registries,signature_registered
aborean_abstract,pool_evt_swap,defi,dex_amm,asset_swapped
aborean_abstract,poolfactory_evt_poolcreated,defi,dex_amm,pool_deployed
abstract,blocks,infra,blockchain_data,block_recorded
abstract,contracts,infra,blockchain_data,contract_stored
abstract,creation_traces # Added from original file,infra,blockchain_data,creation_traced
abstract,logs,infra,blockchain_data,log_emitted
abstract,logs_decoded,infra,blockchain_data,log_decoded
abstract,traces,infra,blockchain_data,creation_traced
abstract,traces_decoded,infra,blockchain_data,log_decoded
abstract,transactions,infra,blockchain_data,block_recorded
abstractswap_abstract,uniswapv3pool_evt_swap,defi,dex_amm,asset_swapped
account_abstraction_erc4337,account_deployed,infra,account_abstraction,account_deployed
across_hyperevm,universal_spokepool_evt_filledrelay,bridge,bridge_protocols,relay_filled
across_hyperevm,universal_spokepool_evt_fundsdeposited,bridge,bridge_protocols,funds_deposited
across_optimism,OVM_OETH_BridgeDepositBox_evt_FundsDeposited,bridge,bridge_protocols,funds_deposited
across_plasma,universal_spokepool_evt_filledrelay,bridge,bridge_protocols,relay_filled
across_plasma,universal_spokepool_evt_fundsdeposited,bridge,bridge_protocols,funds_deposited
across_v2_arbitrum,arbitrum_spokepool_evt_filledrelay,bridge,bridge_protocols,relay_filled
across_v2_arbitrum,arbitrum_spokepool_evt_fundsdeposited,bridge,bridge_protocols,funds_deposited
across_v2_arbitrum,uba_arbitrum_spokepool_evt_filledrelay,bridge,bridge_protocols,relay_filled
across_v2_arbitrum,uba_arbitrum_spokepool_evt_filledv3relay,bridge,bridge_protocols,v3_relay_filled
across_v2_arbitrum,uba_arbitrum_spokepool_evt_fundsdeposited,bridge,bridge_protocols,funds_deposited
across_v2_arbitrum,uba_arbitrum_spokepool_evt_v3fundsdeposited,bridge,bridge_protocols,v3_funds_deposited
across_v2_base,base_spokepool_evt_filledrelay,bridge,bridge_protocols,relay_filled
across_v2_base,base_spokepool_evt_filledv3relay,bridge,bridge_protocols,v3_relay_filled
across_v2_base,base_spokepool_evt_fundsdeposited,bridge,bridge_protocols,funds_deposited
across_v2_base,base_spokepool_evt_v3fundsdeposited,bridge,bridge_protocols,v3_funds_deposited
across_v2_boba,boba_spokepool_evt_filledrelay,bridge,bridge_protocols,relay_filled
across_v2_boba,boba_spokepool_evt_fundsdeposited,bridge,bridge_protocols,funds_deposited
across_v2_ethereum,ethereum_spokepool_evt_filledrelay,bridge,bridge_protocols,relay_filled
across_v2_ethereum,ethereum_spokepool_evt_fundsdeposited,bridge,bridge_protocols,funds_deposited
across_v2_ethereum,uba_ethereum_spokepool_evt_filledrelay,bridge,bridge_protocols,relay_filled
across_v2_ethereum,uba_ethereum_spokepool_evt_filledv3relay,bridge,bridge_protocols,v3_relay_filled
across_v2_ethereum,uba_ethereum_spokepool_evt_fundsdeposited,bridge,bridge_protocols,v3_funds_deposited
across_v2_ethereum,uba_ethereum_spokepool_evt_v3fundsdeposited,bridge,bridge_protocols,v3_funds_deposited
across_v2_linea,linea_spokepool_evt_filledrelay,bridge,bridge_protocols,relay_filled
across_v2_linea,linea_spokepool_evt_filledv3relay,bridge,bridge_protocols,v3_relay_filled
across_v2_linea,linea_spokepool_evt_fundsdeposited,bridge,bridge_protocols,funds_deposited
across_v2_linea,linea_spokepool_evt_v3fundsdeposited,bridge,bridge_protocols,v3_funds_deposited
across_v2_optimism,Optimism_SpokePool_evt_FundsDeposited,bridge,bridge_protocols,funds_deposited
across_v2_optimism,Optimism_SpokePool_evt_OptimismTokensBridged,bridge,bridge_protocols,tokens_bridged
across_v2_optimism,Optimism_SpokePool_evt_TokensBridged,bridge,bridge_protocols,tokens_bridged
across_v2_optimism,UBA_Optimism_SpokePool_evt_FundsDeposited,bridge,bridge_protocols,funds_deposited
across_v2_optimism,UBA_Optimism_SpokePool_evt_OptimismTokensBridged,bridge,bridge_protocols,tokens_bridged
across_v2_optimism,UBA_Optimism_SpokePool_evt_TokensBridged,bridge,bridge_protocols,tokens_bridged
across_v2_optimism,optimism_spokepool_evt_filledrelay,bridge,bridge_protocols,relay_filled
across_v2_optimism,optimism_spokepool_evt_fundsdeposited,bridge,bridge_protocols,funds_deposited
across_v2_optimism,uba_optimism_spokepool_evt_filledrelay,bridge,bridge_protocols,relay_filled
across_v2_optimism,uba_optimism_spokepool_evt_filledv3relay,bridge,bridge_protocols,v3_relay_filled
across_v2_optimism,uba_optimism_spokepool_evt_fundsdeposited,bridge,bridge_protocols,funds_deposited
across_v2_optimism,uba_optimism_spokepool_evt_v3fundsdeposited,bridge,bridge_protocols,v3_funds_deposited
across_v2_polygon,polygon_spokepool_evt_filledrelay,bridge,bridge_protocols,relay_filled
across_v2_polygon,polygon_spokepool_evt_fundsdeposited,bridge,bridge_protocols,funds_deposited
across_v2_polygon,uba_polygon_spokepool_evt_filledrelay,bridge,bridge_protocols,relay_filled
across_v2_polygon,uba_polygon_spokepool_evt_filledv3relay,bridge,bridge_protocols,v3_relay_filled
across_v2_polygon,uba_polygon_spokepool_evt_fundsdeposited,bridge,bridge_protocols,funds_deposited
across_v2_polygon,uba_polygon_spokepool_evt_v3fundsdeposited,bridge,bridge_protocols,v3_funds_deposited
across_v2_zksync,zksync_spokepool_evt_filledrelay,bridge,bridge_protocols,relay_filled
across_v2_zksync,zksync_spokepool_evt_filledv3relay,bridge,bridge_protocols,v3_relay_filled
across_v2_zksync,zksync_spokepool_evt_fundsdeposited,bridge,bridge_protocols,funds_deposited
across_v2_zksync,zksync_spokepool_evt_v3fundsdeposited,bridge,bridge_protocols,v3_funds_deposited
across_v3_blast,blast_spokepool_evt_filledrelay,bridge,bridge_protocols,relay_filled
across_v3_blast,blast_spokepool_evt_filledv3relay,bridge,bridge_protocols,v3_relay_filled
across_v3_blast,blast_spokepool_evt_fundsdeposited,bridge,bridge_protocols,funds_deposited
across_v3_blast,blast_spokepool_evt_v3fundsdeposited,bridge,bridge_protocols,v3_funds_deposited
across_v3_bnb,universal_spokepool_evt_filledrelay,bridge,bridge_protocols,relay_filled
across_v3_bnb,universal_spokepool_evt_fundsdeposited,bridge,bridge_protocols,funds_deposited
across_v3_ink,ink_spokepool_evt_filledrelay,bridge,bridge_protocols,relay_filled
across_v3_ink,ink_spokepool_evt_filledv3relay,bridge,bridge_protocols,v3_relay_filled
across_v3_ink,ink_spokepool_evt_fundsdeposited,bridge,bridge_protocols,funds_deposited
across_v3_ink,ink_spokepool_evt_v3fundsdeposited,bridge,bridge_protocols,v3_funds_deposited
across_v3_lens,lens_spokepool_evt_filledrelay,bridge,bridge_protocols,relay_filled
across_v3_lens,lens_spokepool_evt_fundsdeposited,bridge,bridge_protocols,funds_deposited
across_v3_scroll,scroll_spokepool_evt_filledrelay,bridge,bridge_protocols,relay_filled
across_v3_scroll,scroll_spokepool_evt_filledv3relay,bridge,bridge_protocols,v3_relay_filled
across_v3_scroll,scroll_spokepool_evt_fundsdeposited,bridge,bridge_protocols,funds_deposited
across_v3_scroll,scroll_spokepool_evt_v3fundsdeposited,bridge,bridge_protocols,v3_funds_deposited
across_v3_unichain,unichain_spokepool_evt_filledrelay,bridge,bridge_protocols,relay_filled
across_v3_unichain,unichain_spokepool_evt_filledv3relay,bridge,bridge_protocols,v3_relay_filled
across_v3_unichain,unichain_spokepool_evt_fundsdeposited,bridge,bridge_protocols,funds_deposited
across_v3_unichain,unichain_spokepool_evt_v3fundsdeposited,bridge,bridge_protocols,v3_funds_deposited
across_v3_worldchain,worldchain_spokepool_evt_filledrelay,bridge,bridge_protocols,relay_filled
across_v3_worldchain,worldchain_spokepool_evt_filledv3relay,bridge,bridge_protocols,v3_relay_filled
across_v3_worldchain,worldchain_spokepool_evt_fundsdeposited,bridge,bridge_protocols,funds_deposited
across_v3_worldchain,worldchain_spokepool_evt_v3fundsdeposited,bridge,bridge_protocols,v3_funds_deposited
across_v3_zora,zora_spokepool_evt_filledrelay,bridge,bridge_protocols,relay_filled
across_v3_zora,zora_spokepool_evt_filledv3relay,bridge,bridge_protocols,v3_relay_filled
across_v3_zora,zora_spokepool_evt_fundsdeposited,bridge,bridge_protocols,funds_deposited
across_v3_zora,zora_spokepool_evt_v3fundsdeposited,bridge,bridge_protocols,v3_funds_deposited
addresses_ethereum,defi,analytics,address_registries,address_labeled
addresses_ethereum,optimism_batchinbox_combinations,infra,batch_inbox_systems,batch_combined
addresses_ethereum,optimism_outputoracle_combinations,infra,output_oracle_systems,oracle_combined
addresses_events_abstract,first_funded_by,analytics,address_events,first_funding_detected
addresses_events_abstract,first_token_received,analytics,address_events,first_token_received
addresses_events_apechain,first_funded_by,analytics,address_events,first_funding_detected
addresses_events_apechain,first_token_received,analytics,address_events,first_token_received
addresses_events_arbitrum,first_funded_by,analytics,address_events,first_funding_detected
addresses_events_arbitrum,first_token_received,analytics,address_events,first_token_received
addresses_events_avalanche_c,first_funded_by,analytics,address_events,first_funding_detected
addresses_events_avalanche_c,first_token_received,analytics,address_events,first_token_received
addresses_events_base,first_funded_by,analytics,address_events,first_funding_detected
addresses_events_berachain,first_funded_by,analytics,address_events,first_funding_detected
addresses_events_berachain,first_token_received,analytics,address_events,first_token_received
